"Statement executed successfully."
"Statement executed successfully."
"Table INFORMATION successfully created."
"s3://sevenone/employees02.csv","LOADED","5","5","1","0","","","",""
"s3://sevenone/employees05.csv","LOADED","5","5","1","0","","","",""
"s3://sevenone/employees03.csv","LOADED","5","5","1","0","","","",""
"s3://sevenone/employees01.csv","LOADED","5","5","1","0","","","",""
"s3://sevenone/employees04.csv","LOADED","5","5","1","0","","","",""
"Function NAME2 successfully created."
"ndorgan5@sf_tuts.com","Pampas Chico"
"cdevereu6@sf_tuts.co.au","Magapit"
"gglaserman7@sf_tuts.com","Shiquanhe"
"icasemore8@sf_tuts.com","Campina Grande"
"chovie9@sf_tuts.com","Miami"
"adavidovitsk@sf_tuts.com","Meniko"
"vshermorel@sf_tuts.com","Troitsk"
"rmattysm@sf_tuts.com","Bayaguana"
"soluwatoyinn@sf_tuts.com","Semënovskoye"
"gbassfordo@sf_tuts.co.uk","Kardítsa"
"afeatherstona@sf_tuts.com","Calatrava"
"hanneslieb@sf_tuts.com","Aleysk"
"bciccoc@sf_tuts.com","Sinegor'ye"
"bdurnalld@sf_tuts.com","Sabadell"
"kmacconnale@sf_tuts.com","Qingshu"
"lboissier@sf_tuts.com","Shikrpur"
"ihanks1@sf_tuts.com","Monte-Carlo"
"alaudham2@sf_tuts.com","Pramw"
"ecornner3@sf_tuts.com","Norrköping"
"hgoolding4@sf_tuts.com","Osielsko"
"wsizeyf@sf_tuts.com","Taibao"
"dmcgowrang@sf_tuts.com","Banjar Bengkelgede"
"cbedderh@sf_tuts.co.au","Leninskoye"
"davoryi@sf_tuts.com","Wenlin"
"rtalmadgej@sf_tuts.co.uk","Yawata"
